Artist,Title,Year,URL
Bläck Fööss,En d'r Altstadt weed en Bud frei,2022,https://youtu.be/8bY_QPn9VG4
Bläck Fööss,Frankreich Frankreich,1985,https://www.youtube.com/watch?v=m-AF_5rXd4s
Bläck Fööss,Himmelfahrt,1993,https://www.youtube.com/watch?v=c4RN00KtMQg
Bläck Fööss,Mer losse d'r Dom in Kölle,1973,https://youtu.be/LYGQi1CjH20
Bläck Fööss,Ming eetste Fründin,1976,https://www.youtube.com/watch?v=S8zZyZXuX1U
Bläck Fööss,Mir klääve am Lääve,1984,https://www.youtube.com/watch?v=2SGueS81RgQ
Bläck Fööss,Rut und Wiess,2005,https://www.youtube.com/watch?v=o1PjjQHsVPM
Bläck Fööss,Unser Stammbaum,2000,https://youtu.be/vE6wMwu_W9A
Bläck Fööss,Wenn et Leech usjing em Roxy,1996,https://www.youtube.com/watch?v=ZL-d9yo8HNA
Bläck Fööss,Wenn de Sonn schön schingk,1975,https://youtu.be/jpO6aRtcliY?si=ZxIfPNDSq-qNwDQ2
Bläck Fööss,Wenn mir Kölsche singe,2010,https://youtu.be/86X4PBAztuw?si=mHppwdtaF2S6r4Rh
Bläck Fööss und AnnenMayKantereit,Ich han nen Deckel,2020,https://www.youtube.com/watch?v=Ax7yjgjVYEc
Bläck Föös und Harpe Kerkeling,Buchping vun Heimwih,2020,https://www.youtube.com/watch?v=baj2DVn6bbA
Björn Heuser,Spökes,2021,https://youtu.be/l-21w3tQri0?si=1hg_B3aRY2fuz6_2
Bohei,Alles es joot,2019,https://youtu.be/7yXJ6Hn6mhU?si=HZrwKICu1BlYGbT5
Bohei,Der letzte Daach,2020,https://youtu.be/6RAY9cjNrek?si=S04OzpXiITRFUtnl
Bohei,Fründe für't Levve,2022,https://youtu.be/E5AGNQMX5TM?si=10Phaa345H-R2ebT
Bohei,Plan B,2018,https://youtu.be/u5GY7x9ZGZA?si=jWHEa5Yo4z_Xuvdm
Bohei,Rakete,2022,https://youtu.be/718ZRa8WZRI?si=e9yGUfnJrpLRk7nP
"Brings, Lugatti,9ine & Querbeat",Kein Kölsch für Nazis,2023,https://youtu.be/aNURD4ZuagU?si=1WoY7HJ4YXPMVwUV
Brings,Dunmer ne Jefalle,2007,https://www.youtube.com/watch?v=3pK44IR60cY
Brings,Halleluja,2010,https://www.youtube.com/watch?v=gN_p0vURLgQ
Brings,Jeck Yeah!,2016,https://www.youtube.com/watch?v=Ze9hWGmDZqE
Brings,Kölsche Jung,2014,https://youtu.be/Rx1gTG2lGtA?t=8
Brings,Liebe gewinnt,2017,https://www.youtube.com/watch?v=mjV-St5TYMs
Brings,Loss dir nix jefalle,2007,https://www.youtube.com/watch?v=9UjQRhcTvtI
Brings,"Polka, Polka, Polka",2014,https://youtu.be/E0l8rCYazBI
Brings,Man müsste noch mal 20 sein,2004,https://www.youtube.com/watch?v=7Sn1FrYclgs
Brings,Mir sin Kölsche,2022,https://www.youtube.com/watch?v=1jZhC0VIvDw
Brings,Mir singe Alaaf!,2020,https://www.youtube.com/watch?v=COVxO1x-dBA
Brings,Nur mer zwei,1991,https://www.youtube.com/watch?v=lS0KmqZW2rA
Brings,Nur nicht aus Liebe weinen,2007,https://www.youtube.com/watch?v=CPEN_B7NGK8
Brings,"Poppe,Kaate,Danze",2003,https://www.youtube.com/watch?v=kiM-TxZkVHA
Brings,Romeo&Julia,2023,https://www.youtube.com/watch?v=rc_BxyBp2_g
Brings,Riesenkamell,2007,https://www.youtube.com/watch?v=aDX7JMoBpeY
Brings,Su lang die Welt sich drieht,2024,https://www.youtube.com/watch?v=6qzf0PTykVA
Brings,Su lang mer noch am Lääve sin,2005,https://youtu.be/JrSVVFHMU4g?si=jANu42qNSnvCswPK
Brings,Sünderlein,2019,https://www.youtube.com/watch?v=R-Yswpa9zX4
Brings,Superjeilezick,1990,https://www.youtube.com/watch?v=OP2QTdh0J6s
Brings feat. Dennis aus Hürth,Et jeilste Land,2019,https://www.youtube.com/watch?v=5l3us9F6EW4
Cat Ballou,Achterbahn,2012,https://www.youtube.com/watch?v=6Pi3Wyk1QPY
Cat Ballou,Alles bunt,2021,https://www.youtube.com/watch?v=-XhRFy6TLM8
Cat Ballou,Alles perfekt,2018,https://www.youtube.com/watch?v=kvf01hf5-OM
Cat Ballou,Bes an´t Enk,2018,https://www.youtube.com/watch?v=r2krrI9o59k
Cat Ballou feat. Marcella Rockefeller,Blau grau grüne Augen,2021,https://www.youtube.com/watch?v=l_BKhUMWtpw
Cat Ballou,Bröcke,2018,https://www.youtube.com/watch?v=Ig-hWqUh-00
Cat Ballou,Dat 11.Jebot,2012,https://www.youtube.com/watch?v=TFd4iFI5884
Cat Ballou,Die Liebe,2019,https://www.youtube.com/watch?v=-ljqMgXnh5A
Cat Ballou,Die Stääne stonn joot,2015,https://www.youtube.com/watch?v=Zisfpxgrop8
Cat Ballou,Do un ich,2013,https://www.youtube.com/watch?v=9H2iTonxfp4
Cat Ballou feat. Mätropolis,Dr letzte Bus,2024,https://www.youtube.com/watch?v=sU_VR-CAfyI
Cat Ballou,Du bes nit allein,2021,https://www.youtube.com/watch?v=X681yg-6rOs
Cat Ballou,Et jitt kei wood,2012,https://youtu.be/VF6p-BGQcl4 
Cat Ballou,Gute Zeit,2024,https://www.youtube.com/watch?v=uST2NA131Yc
Cat Ballou,Heimweh,2019,https://www.youtube.com/watch?v=NBnckH5v0AU
Cat Ballou,Hück steiht de Welt still,2013,https://youtu.be/Qrp3ZvrLGmI?si=cj3aQ3COQU1wjA_U
Cat Ballou,Ich jevv noch eine us,2021,https://www.youtube.com/watch?v=prLQdZjbzgg
Cat Ballou,Immer immer widder,2016,https://www.youtube.com/watch?v=JrOhBpkyzlc
Cat Ballou,Jlitzer,2018,https://www.youtube.com/watch?v=rSjJKn1FbVs
Cat Ballou,König,2013,https://www.youtube.com/watch?v=AyXK72gqkZA
Cat Ballou,Kumm loss uns fiere,2024,https://www.youtube.com/watch?v=jxmpYG0hv4Y
Cat Ballou,Lass uns nicht geh'n,2023,https://www.youtube.com/watch?v=9DSg7fzRdO8
Cat Ballou,Loss uns fleeje,2018,https://www.youtube.com/watch?v=himkBz0omf0
Cat Ballou,Mamm,2021,https://www.youtube.com/watch?v=A0nCZccjcc8
Cat Ballou,Mer fiere et levve,2018,https://www.youtube.com/watch?v=1r2SltcxhoU
Cat Ballou,Ming Stadt,2013,https://www.youtube.com/watch?v=HN7gX2hDkSs
Cat Ballou,Morjens öm vier,2013,https://www.youtube.com/watch?v=TMDl2Uva3tc
Cat Ballou,Niemols im Läve,2021,https://www.youtube.com/watch?v=RRgGrgvR4B4
Cat Ballou,Noh Hus,2013,https://www.youtube.com/watch?v=d5qLL0ioNf0
Cat Ballou,Oh wie schön,2021,https://www.youtube.com/watch?v=XJ-ZNUIUe1k
Cat Ballou,Paradies,2023,https://www.youtube.com/watch?v=GZzHhLRxnHU
Cat Ballou,Sand im Schoh,2018,https://www.youtube.com/watch?v=2bJC1TPfDSU
Cat Ballou,Su noh bei dir su joot,2018,https://www.youtube.com/watch?v=DEcot0LN7ss
Cat Ballou,Urlaub,2018,https://www.youtube.com/watch?v=CMD7pD1K0IM
Colör,Kölsche Junge,1995,https://youtu.be/aEq2fbp19nQ?si=kLlvehLr2igZIuYm
Colör,Millione vun Stääne,2017,https://youtu.be/DdPiOeScUuM?si=kGb3vLABbHD9PyPo
